"Age","Year","Principal","Low","High","Principal.2012","Low.2012","High.2012"
35,2029,95.875673,87.83556493,107.8087942,96.8782737197089,88.6910698845389,102.520927300284
36,2029,85.902396,76.30936933,93.2361507,82.0023170969112,75.3992762287732,87.7631303817612
37,2029,73.12515111,62.70624563,76.4436868,67.3959791865703,62.0219086206896,71.9872298962948
38,2029,60.09157767,49.33979963,60.11695374,51.8842659000196,47.8392870003733,55.3261795126497
39,2029,49.43361134,38.66090391,47.22165002,40.1411639040282,36.9176017964498,42.8256303509444
40,2029,33.11934938,27.39212096,35.42704922,29.6825895640371,26.9982425664471,32.7472192139271
41,2029,24.26631684,17.93152056,23.29557698,19.5150551363958,17.705779380262,21.5115658066164
42,2029,15.06281291,11.16362552,14.61115076,12.4545047926273,11.2468619547053,13.7607231619319
43,2029,8.858812457,6.556864172,8.612815215,7.08320404168028,6.39498742308193,7.8314686254258
44,2029,5.173794402,3.817549512,5.0437427,4.06960843906077,3.67261291716869,4.5057928551868
45,2029,2.668444241,2.658210312,2.609743859,2.30791919434362,2.08980847703936,2.55670789747328
46,2029,3.606455026,3.592623669,3.527120302,2.93463033654633,2.65729206175071,3.25097714686089
47,2029,3.606455026,3.592623669,3.527120302,2.93463033654633,2.65729206175071,3.25097714686089
48,2029,3.606455026,3.592623669,3.527120302,2.93463033654633,2.65729206175071,3.25097714686089
49,2029,3.606455026,3.592623669,3.527120302,2.93463033654633,2.65729206175071,3.25097714686089
15,2030,1.554880911,1.563025955,1.594940005,2.07660167811778,1.86112832963024,2.33231387957147
16,2030,4.285758539,4.301268279,4.653191834,5.64856487212681,5.06512877030775,6.34156342493886
17,2030,12.35322428,12.43230132,13.44451546,14.3504541989841,12.6347150777759,16.1670919810603
18,2030,20.10482678,20.25022698,24.1968141,23.3946223543577,20.2690889038652,26.4134952803165
19,2030,32.65604832,31.76759605,38.28027765,33.6732871150832,28.7605069771671,38.0620583224962
20,2030,41.5067043,39.13574433,48.10994659,47.1411659464949,40.5783384434297,54.7021032277529
21,2030,47.51460144,44.40610068,54.97657469,54.4299539933882,45.5812705846915,62.1862894924982
22,2030,54.65561254,50.63074143,62.80255237,64.4295744819109,53.8724504640847,73.7343745524883
23,2030,62.70865883,57.62663959,71.50877791,71.4144630486738,59.5891863637998,81.7922391025171
24,2030,73.22901918,65.33050419,80.79308999,79.9952082430291,66.9540007862273,91.317574044502
25,2030,84.55014279,74.31279999,90.7310882,87.5776021655847,76.0868578491048,100.090619943829
26,2030,94.52597084,83.12252409,100.9695683,94.2328782970961,82.3962440898502,107.503938095279
27,2030,103.9852306,91.52928113,110.530645,101.600250829884,89.253551359482,115.582224511066
28,2030,110.2294926,97.2346095,116.6462634,108.695283726185,96.2118703537481,122.963335336863
29,2030,117.1913692,105.5187135,125.4718924,113.221286359395,100.868849407929,127.267239740005
30,2030,117.9556765,107.8255214,132.9222257,119.597337089928,109.553349657546,130.823947320331
31,2030,121.4114132,112.6033938,137.253593,123.397296605057,113.717871232373,133.87159821011
32,2030,118.9439178,109.7487866,132.5852026,118.484769514033,109.663836674772,127.647106742847
33,2030,111.8958913,103.6132477,124.3769739,113.17051710759,105.234260616917,121.169353522091
34,2030,106.2801799,97.71417424,116.4144943,106.382709477313,99.3660000258707,113.269506399456
35,2030,96.10577231,88.05731199,107.9290622,97.0144394169084,88.8577955162945,102.529267037137
36,2030,86.15474144,76.56823771,93.37298048,82.1436673965519,75.586543062421,87.7745298065632
37,2030,73.34451451,62.9362353,76.55256837,67.5128049516396,62.1908996640624,72.0066022140935
38,2030,60.36933338,49.61930271,60.29083978,52.0359232491437,48.044808744411,55.4112591372789
39,2030,49.65406609,38.88057889,47.35142456,40.2370637620888,37.0580668991527,42.8781580712269
40,2030,33.22886713,27.5172478,35.48282845,29.7325063464351,27.0851078890666,32.7598428604929
41,2030,24.33409173,17.99766491,23.32743102,19.5443401096097,17.75615547127,21.5200934065443
42,2030,15.08527985,11.18461238,14.61850596,12.4643972886478,11.2660883437101,13.7588361403515
43,2030,8.862632359,6.55990428,8.609365313,7.08030039243311,6.39901222773753,7.81885256290862
44,2030,5.178877545,3.820631303,5.045356116,4.07024447932032,3.67831089244147,4.49999245996031
45,2030,2.675472492,2.664011353,2.618311187,2.31141283464665,2.09753800348929,2.55534676808882
46,2030,3.615953846,3.60046389,3.538699216,2.93907266834174,2.66712052665654,3.24924640533692
47,2030,3.615953846,3.60046389,3.538699216,2.93907266834174,2.66712052665654,3.24924640533692
48,2030,3.615953846,3.60046389,3.538699216,2.93907266834174,2.66712052665654,3.24924640533692
49,2030,3.615953846,3.60046389,3.538699216,2.93907266834174,2.66712052665654,3.24924640533692
15,2031,1.554880911,1.559833425,1.596946449,2.07581071440309,1.85980584784709,2.33258813816276
16,2031,4.285758539,4.293121328,4.659456953,5.64632870440779,5.0613832773692,6.34234581118035
17,2031,12.35280769,12.41250557,13.46254631,14.3447964782416,12.6254153728945,16.1690766026243
18,2031,20.1043236,20.21858609,24.2287302,23.3855062536569,20.254351508407,26.4166909607967
19,2031,32.65657016,31.72047941,38.33032018,33.6602476036061,28.7397312140394,38.0666274847607
20,2031,41.50553129,39.07103907,48.17317598,47.1229217083177,40.5490173025431,54.7086731848407
21,2031,47.51004624,44.32287052,55.05195025,54.4085856342218,45.5480152205495,62.193683632284
22,2031,54.64765085,50.53964525,62.89887086,64.4022606093692,53.8304067743815,73.7430251993253
23,2031,62.69635204,57.52643948,71.63514461,71.3788109841419,59.5353971157319,81.8011580318333
24,2031,73.21474686,65.22125166,80.94864031,79.945230077354,66.8799105657926,91.325747314899
25,2031,84.53740302,74.19394204,90.91279071,87.5052176943678,75.9773644717556,100.095731242066
26,2031,94.51324006,82.99595056,101.17162,94.150828061746,82.2696216008386,107.507915244469
27,2031,103.9716346,91.39757287,110.741975,101.517639433004,89.1236315811938,115.592725681737
28,2031,110.2188723,97.10453673,116.8480686,108.628074555432,96.0968895043786,122.982745693127
29,2031,117.187514,105.3912567,125.6544148,113.164444286926,100.766268063461,127.285450655709
30,2031,117.9590383,107.7097884,133.0748612,119.553734447267,109.479897451535,130.829364635686
31,2031,121.4260588,112.5069286,137.3561207,123.366268188885,113.684325699387,133.851642206911
32,2031,118.9674339,109.6884203,132.6559769,118.464364766403,109.663548573316,127.612852339259
33,2031,111.9394972,103.6078717,124.4430043,113.169189237771,105.268626172912,121.118084395567
34,2031,106.3769087,97.79756287,116.4970585,106.410972920076,99.4302836130255,113.206158821522
35,2031,96.23813049,88.21140636,108.0266806,97.0696913721955,88.9416520342193,102.475604806706
36,2031,86.35921748,76.8086353,93.53661197,82.2701489629267,75.7425959737565,87.7805133077722
37,2031,73.54870093,63.17726414,76.70728518,67.6275226044124,62.3430520238015,72.0162674691882
38,2031,60.53759004,49.82059515,60.40650512,52.1283719553779,48.1801124981896,55.422662677542
39,2031,49.86583143,39.10900696,47.50822543,40.3341226333246,37.1932335380132,42.9278445824758
40,2031,33.37336346,27.68982129,35.5979267,29.8069440099459,27.1952962634673,32.7973264118947
41,2031,24.40466386,18.07725741,23.37805341,19.5733840978234,17.8060217099914,21.5269214782392
42,2031,15.12510003,11.22714807,14.65187231,12.4820541485687,11.2924911782193,13.7662789601097
43,2031,8.877257049,6.576052349,8.622616175,7.08643181507273,6.41105753049234,7.81797642265956
44,2031,5.18371641,3.825399017,5.051443376,4.06933979031795,3.68159653831047,4.49312149432327
45,2031,2.678045179,2.666877267,2.624305868,2.3115320253629,2.1020699168494,2.55032901788378
46,2031,3.619430884,3.604337231,3.546801145,2.93922422507414,2.67288307261646,3.24286609444519
47,2031,3.619430884,3.604337231,3.546801145,2.93922422507414,2.67288307261646,3.24286609444519
48,2031,3.619430884,3.604337231,3.546801145,2.93922422507414,2.67288307261646,3.24286609444519
49,2031,3.619430884,3.604337231,3.546801145,2.93922422507414,2.67288307261646,3.24286609444519
